品名,價格(單位:千),原價(單位:千),售出量,網址
Genius mouse pen-drawing tablet easypen i405x,590.000,,,https://id.xiapibuy.com//Genius-mouse-pen-drawing-tablet-easypen-i405x-i.12031235.1186801153
PAKETAN KEYBOARD DAN MOUSE GENIUS USB,155.000,,,https://id.xiapibuy.com//PAKETAN-KEYBOARD-DAN-MOUSE-GENIUS-USB-i.4055667.1167713494
mouse Gaming genius X-G510,205.000,,,https://id.xiapibuy.com//mouse-Gaming-genius-X-G510-i.8287466.1039862528
Mouse usb Genius DX-110,50.000,,3,https://id.xiapibuy.com//Mouse-usb-Genius-DX-110-i.8287466.1031597061
Mouse Optic DX-110 Genius USB [Full Color] Original,50.000,,14,https://id.xiapibuy.com//Mouse-Optic-DX-110-Genius-USB-Full-Color-Original-i.23399304.1020641911
Genius Nx-7000 Wireless Optical Mouse / Genius Wireless Mouse Optical (Nx7000) Original & Resmi,107.000,,1,https://id.xiapibuy.com//Genius-Nx-7000-Wireless-Optical-Mouse-Genius-Wireless-Mouse-Optical-(Nx7000)-Original-Resmi-i.60901488.991691109
Genius Mouse Pen I608x Pen Tablet,785.000,,1,https://id.xiapibuy.com//Genius-Mouse-Pen-I608x-Pen-Tablet-i.60901488.991388022
Keyboard Genius KB-110,95.000,,,https://id.xiapibuy.com//Keyboard-Genius-KB-110-i.30007512.952541265
MOUSE GENIUS 305 LASER TRAVELER,90.000,,,https://id.xiapibuy.com//MOUSE-GENIUS-305-LASER-TRAVELER-i.56541807.921954327
MOUSE GENIUS USB DX-110,43.000,,,https://id.xiapibuy.com//MOUSE-GENIUS-USB-DX-110-i.56541807.921858297
EasyPen Kids Designer-Genius Kids Designer,350.000,,,https://id.xiapibuy.com//EasyPen-Kids-Designer-Genius-Kids-Designer-i.27384532.600212699
Keyboard genius kb110,98.000,,3,https://id.xiapibuy.com//Keyboard-genius-kb110-i.37623621.575086110
Genius mouse dx110 usb,60.000,,,https://id.xiapibuy.com//Genius-mouse-dx110-usb-i.37623621.575067852
Genius Paketan Keyboard KB-110X Mouse DX-110 USB Original - Hitam (IN),145.000,,,https://id.xiapibuy.com//Genius-Paketan-Keyboard-KB-110X-Mouse-DX-110-USB-Original-Hitam-(IN)-i.924212.558374180
Mouse Genius NX-7010,115.000,,,https://id.xiapibuy.com//Mouse-Genius-NX-7010-i.11245692.421355196
Mouse Genius NX-7005,100.000,,,https://id.xiapibuy.com//Mouse-Genius-NX-7005-i.11245692.421338170
Genius Mouse Wireless NX7000,92.000,,16,https://id.xiapibuy.com//Genius-Mouse-Wireless-NX7000-i.26009573.314124915
Genius Mouse NX-7015 Gold,114.000,,4,https://id.xiapibuy.com//Genius-Mouse-NX-7015-Gold-i.26009573.314124914
Genius Mouse NX-7015 Chocolate,114.000,,1,https://id.xiapibuy.com//Genius-Mouse-NX-7015-Chocolate-i.26009573.314124912
Genius Mouse NX-7015 Iron Grey,114.000,,1,https://id.xiapibuy.com//Genius-Mouse-NX-7015-Iron-Grey-i.26009573.314124911
Genius Mouse DX120 USB Biru,47.500,,,https://id.xiapibuy.com//Genius-Mouse-DX120-USB-Biru-i.26009573.314124908
Genius Mouse DX120 USB Merah,47.500,,,https://id.xiapibuy.com//Genius-Mouse-DX120-USB-Merah-i.26009573.314124904
Genius MousePen i608X  i 608x i-608x drawing tablet i608x,700.000,,,https://id.xiapibuy.com//Genius-MousePen-i608X-i-608x-i-608x-drawing-tablet-i608x-i.20823421.236274279
Mouse Genius Wireless Blue Eye,100.000,,,https://id.xiapibuy.com//Mouse-Genius-Wireless-Blue-Eye-i.19826704.212454496
MOUSE USB GENIUS DX-125,42.018,,,https://id.xiapibuy.com//MOUSE-USB-GENIUS-DX-125-i.14296299.125591764
MOUSE WIRELESS GENIUS NX-7010,110.000,,1,https://id.xiapibuy.com//MOUSE-WIRELESS-GENIUS-NX-7010-i.14296299.125586508
MOUSE USB GENIUS DX-110,42.018,,,https://id.xiapibuy.com//MOUSE-USB-GENIUS-DX-110-i.14296299.125584059
Mouse Usb Genius 120 / Mouse Genius Optical Netscroll 120,58.500,,,https://id.xiapibuy.com//Mouse-Usb-Genius-120-Mouse-Genius-Optical-Netscroll-120-i.12031235.88724460
Genius Mouse Pen I608x Pen Tablet Alat Desain Grafis,790.000,,1,https://id.xiapibuy.com//Genius-Mouse-Pen-I608x-Pen-Tablet-Alat-Desain-Grafis-i.2948389.19970893
Genius Mousepen I608x 6 X 8 Inch Pen Stylus Tablet With Cordless Mouse,800.000,,3,https://id.xiapibuy.com//Genius-Mousepen-I608x-6-X-8-Inch-Pen-Stylus-Tablet-With-Cordless-Mouse-i.4408181.19465124
Genius Numpad i-110,150.000,,,https://id.xiapibuy.com//Genius-Numpad-i-110-i.1644948.3422459
